"Taxonomic group","Lineage","Stem age (Mya)","Crown age (Mya)","Stem-Clade age (Mya)","No. of species","Endemic.species","Speciation rate (RPANDA)","Extinction rate (RPANDA)","Net diversification rate (RPANDA)","Speciation rate (CoMET)","Extinction rate (CoMET)","Net-diversification rate (CoMET)","Speciation rate (ClaDS)","Extinction rate (ClaDS)","Net-diversification rate (ClaDS)","Biogeographic origin","Habitat","Habitat differentiation among clades?","Gamma statistic","p-value","Gamma.results","Speciation rate shift times (TESS)","Results without shifts","Final
Results","Num_Rate_Shifts","Up_Peak_or_Down_Dip_Time","Peak_or_Dip_Time","Down_Peak_or_Up_Dip_Time","Driver","DDD","TDD","Him.oro","C4-Exp","Other","Best no. of age grids (PDR)","Results (PDR)","CRABS"
"Plant","Acanthaceae",13.112,8.8055893701,4.3064106299,15,15,"0.233929794300487",8.36E-07,"0.233940281523508","0.2776759595","0.0324441186","0.2452318409","0.24918356021948","0.0293735775960814","0.219809982623398","Asian","Wet + Dry","No structure",-0.187208779081457,0.876,"SC1",,"SC 1a","SC1",0,,,,,"No DDD","No TDD","No Him.oro","No C4-Exp","Other","1","SC1","rate shift in recent time; ambigous in past"
"Reptile","Ahaetullinae",33.63,26.5650591628487,7.0649408371513,13,10,"0.0641498461064081",2.17E-08,"0.0641134086140156","0.08134850075","0.00631777546","0.07503072529","0.0664163559576539","0.00699656475967556","0.0594197911979783","Asian","Wet + Dry","No structure",-1.78555802734308,0.076542177520564,"SC1",,"SC 1a","SC1",0,,,,,"No DDD","No TDD","No Him.oro","No C4-Exp","Other","2","Not SC1","rate shift in recent time; ambigous in past"
"Plant","Ceropegiae",10.79,9.69437179131196,1.09562820868804,67,65,"0.3463491278719",1.14E-06,"0.346536541415844","0.387208129","0.02416314245","0.36304498655","0.405222438782109","0.0446159390147773","0.360606499767332","Asian","Wet","No structure",-0.599290546205939,0.602150294888466,"SC1",0.678606025363,"peak_1","Shift",1,,1,0.678606025363,,"No DDD","No TDD","No Him.oro","No C4-Exp","Other","1","SC1","rate shift in recent time; ambigous in past"
"Reptile","Cnemaspis",79.35,63.434892,15.915108,83,83,"0.0644319199516607",2.27E-07,"0.0642676663036017","0.0729550556","0.00557044577","0.06738460983","0.0654857607974583","0.00289312447342487","0.0625926363240334","Gondwanan","Wet + Dry","Habitat_structured",-1.29136293360926,0.147346785189961,"SC1","3.80609358,3.17174465","dip_1","Shift",1,3.80609358,1,,"TDD","No DDD","TDD","No Him.oro","No C4-Exp","No Other","2","Not SC1","rate shift in recent time; constant in past"
"Arthropod","Digitipes",194,148.659828545668,45.340171454332,11,9,"0.0104537121442583",1.32E-07,"0.010455533995799","0.013024188975","0.001087078915","0.01193711006","0.0125172443790942","0.000702856322914789","0.0118143880561795","Gondwanan","Wet","No structure",-1.32315070108388,0.212634339075127,"SC1",,"SC 1a","SC1",0,,,,,"No DDD","No TDD","No Him.oro","No C4-Exp","Other","1","SC1","constant throughout"
"Reptile","Dravidogecko",58,19.6755313952973,38.3244686047027,7,7,"0.0607378433426018",1.25E-08,"0.0608125468876343","0.08400252855","0.00739122669","0.07661130186","0.0579890968914904","0.0119635820958064","0.046025514795684","Asian","Wet","No structure",-1.09412686475185,0.324166549951411,"SC1",,"SC 1a","SC1",0,,,,,"No DDD","No TDD","No Him.oro","No C4-Exp","Other","NA",,"rate shift in recent time; constant in past"
"Arthropod","Ethmostigmus",91.9,65.2078688654219,26.6921311345781,5,5,"0.0123555109788235",2E-08,"0.0123610134818644","0.01813531565","0.00139952732","0.01673578833","0.011295484586379","0.000634253236693416","0.0106612313496855","Gondwanan","Wet","No structure",-1.16732739391878,0.289421433360708,"SC1",,"SC 1a","SC1",0,,,,,"No DDD","No TDD","No Him.oro","No C4-Exp","Other","NA",,"constant throughout"
"Reptile","Eutropis",35.15,33.5692621463602,1.5807378536398,12,12,"0.0454334500442032",4.3E-08,"0.0454363278723052","0.0559063083","0.00537450647","0.05053180183","0.0485119041811465","0.00486463977635386","0.0436472644047927","Asian","Wet + Dry","No structure",-0.959107325078244,0.384667874041298,"SC1",,"SC 1a","SC1",0,,,,,"No DDD","No TDD","No Him.oro","No C4-Exp","Other","1","SC1","majorly constant throughout"
"Reptile","Fan-Throated",48.3,30.05,18.25,17,14,"0.105506435765989",0.044688697607959,"0.0608064388498791","0.1044889152","0.0146224671","0.0898664481","0.0799706189873706","0.00784431742740408","0.0721263015599665","Asian","Wet + Dry","No structure",0.424063835240341,0.466718911467095,"SC1",,"SC 1a","SC1",0,,,,,"No DDD","No TDD","No Him.oro","No C4-Exp","Other","1","SC1","majorly constant throughout"
"Reptile","Geckoella",34,32,2,14,14,"0.0689425014805353",0.007878133930978,"0.0610501043056301","0.0793858222","0.0098473195","0.0695385027","0.0711428798613637","0.00805949152638114","0.0630833883349826","Asian","Wet + Dry","Habitat_structured",-0.10703531344101,0.939025236204365,"SC1",,"peak_8","Shift",0,,8,,,"No DDD","No TDD","No Him.oro","No C4-Exp","Other","5","Not SC1","rate shift in recent time; constant in past"
"Amphibian","Gegeneophis",51.4,37.5,13.9,14,14,"0.0394998617784207",6.15E-09,"0.0395018970308757","0.0491371501","0.00312743229","0.04600971781","0.0423815258543662","0.00454898562940767","0.0378325402249586","Gondwanan","Wet","No structure",-2.10994075049375,0.032076451943209,"SC2",,"peak_31","Shift",0,,31,,,"No DDD","No TDD","No Him.oro","No C4-Exp","Other","1","SC1","majorly constant throughout"
"Reptile","Gerrhopilus",106,97.930502,8.069498,4,4,"0.00603042231041665",2.74E-09,"0.00603072701009871","0.0092257774","0.000698255176","0.008527522224","0.00324948708910527","0.000968891422910876","0.00228059566619439","Gondwanan","Wet","No structure",-1.25386569104621,0.271727938043326,"SC1",,"SC 1a","SC1",0,,,,,"No DDD","No TDD","No Him.oro","No C4-Exp","Other","NA",,"constant throughout"
"Reptile","Hemidactylus",45.1537,35.786529,9.367171,48,48,"0.0644810481821054",3E-08,"0.0644764481315659","0.0804782896","0.0030279079","0.0774503817","0.0940602798730803","0.00854194954162105","0.0855183303314592","Asian","Wet + Dry","No structure",-3.4465780654602,9.31270529662744E-05,"SC2",,"SC 2a","SC2",0,,,,"DDD+TDD","DDD","TDD","No Him.oro","No C4-Exp","No Other","1","SC1","rate shift in recent time; constant in past"
"Reptile","Hemiphyllodactylus",33,23.661538,9.338462,12,12,"0.0917504068237247",7.25E-07,"0.0917443358797574","0.1140283518","0.0137515201","0.1002768317","0.0948938178304774","0.012218032527182","0.0826757853032955","Asian","Wet + Dry","Habitat_structured",-0.393970985712825,0.796980870889242,"SC1","3.07599994,2.83938456","peak_4","Shift",1,,4,2.83938456,"TDD","No DDD","TDD","No Him.oro","No C4-Exp","No Other","2","Not SC1","rate shift in recent time; ambigous in past"
"Arthropod","Heterometrinae",92,48.0613185950946,43.9386814049054,23,22,"0.0405542956333363",1.15E-08,"0.0405464195272425","0.0535557206","0.00294146748","0.05061425312","0.0481816843607","0.00490994555512054","0.0432717388055794","Gondwanan","Wet + Dry","Habitat_structured",-2.56880489397922,0.00594203376892,"SC2","10.57349008958,9.6122637178,9.13165053191,8.65103734602","SC 2a","SC2+Shift",1,10.57349008958,,,"DDD+TDD+Him.oro","DDD","TDD","Him.oro","No C4-Exp","No Other","1","SC1","rate shifts (peak) in recent time; constant in past"
"Mollusc","Indonaia",81.4,49.4446151668603,31.9553848331397,8,6,"0.0282520585192317",9.07E-09,"0.0282350585027069","0.03736204825","0.003545206965","0.033816841285","0.0321817360713617","0.00218737766523495","0.0299943584061267","Gondwanan","FW","No structure",-0.711486188984665,0.567046376457845,"SC1",,"SC 1a","SC1",0,,,,,"No DDD","No TDD","No Him.oro","No C4-Exp","Other","2","Not SC1","majorly constant throughout"
"Mollusc","Lamellidens",73.7,46.0826887469225,27.6173112530775,9,6,"0.0331105927762055",3.31E-07,"0.0331082953613741","0.0414586032","0.00373457245","0.03772403075","0.0319114159112091","0.0021690041294049","0.0297424117818042","Gondwanan","FW","No structure",-0.610645096837432,0.587398515305939,"SC1",,"SC 1a","SC1",0,,,,,"No DDD","No TDD","No Him.oro","No C4-Exp","Other","NA",,"majorly constant throughout"
